id,systeme_id,theme_id,type_id,numero,application_id,date,journal,titre,resume,joint,complement
102,2,22.0,2,66-27,2,1966-04-30,20 / 1966,Portant promulgation du Code du Travail,"1) Article 29: Le chef d'entreprise est responsable avec le sous-entrepreneurs de mains d'œuvre du respect de toute la législation relative aux conditions du travail (hygiène, sécurité, durée du travail, repos, travail des femmes, travail des enfants, travail de nuits ...) à l'occasion de l'emploi des salariés du sous-entrepreneurs dans ses locaux, comme s'il s'agissait de ses propres employés. 2) Articles 61 à 63: L’examen médical approfondi est obligatoire pour l’emploi des enfants âgés de moins de dix-huit (18) ans. Il est effectué par le médecin de travail et est poursuivi jusqu’à l’âge de dix-huit (18) ans. Il doit être renouvelé au cours de chaque semestre. Pour les activités à risques pour la santé, l’examen médical ainsi que son renouvellement semestriel sont exigés jusqu’à l’âge de vingt et un (21) ans au moins. 3) Articles 152 à 156: L'employeur prend en charge toutes les dépenses associées aux services de SST. L'employeur doit prendre les dispositions nécessaires à la sécurité des employés et à leur protection contre les dangers professionnels. En particulier il doit assurer la santé des travailleurs sur leur lieu de travail, assurer un environnement et des conditions de travail appropriés, protéger les employés contre les risques liés aux équipements et des produits utilisés. mettre à disposition les dispositifs de protection collective et individuelle et former les employés à leur utilisation, informer et sensibiliser les travailleurs sur les risques et dangers associés à leur travail. Aux travailleurs de se conformer aux dispositions et de ne pas commettre des actes pouvant entraver l'application de ces dispositions. En particulier, il doit : appliquer les consignes liées à la SST pour lui et pour tous les travailleurs de l'établissement, utiliser les équipements de protection mis à sa disposition, participer aux séances de sensibilisation et de formation en matière de SST prévues par la société, informer immédiatement son chef hiérarchique de tout dysfonctionnement qu'il constate pouvant entraîner des dangers sur la SST, se soumettre aux examens médicaux demandés par l'employeur. 4) Articles 289 à 292 : Fixant les missions et les devoirs des médecins inspecteurs : * l'application de la législation relative à la santé et à la Sécurité au travail en coordination avec les inspecteurs du travail; fournir aux employeurs et aux travailleurs les renseignements et conseils techniques sur les moyens les plus efficaces pour l'application de la législation relative à la santé et à la sécurité au travail et informer les autorités compétentes des déficiences ou abus qu'ils ont pu constater dans ce domaine; * collecter et exploiter les données statistiques en vue d'améliorer la protection de la santé et de la sécurité des travailleurs; * contrôler les services et les groupements de médecine du travail et agréer les locaux qui leur sont réservés; * contribuer à la préparation d'un fichier physiopathologique de la main d'oeuvre; * statuer sur les litiges concernant les examens médicaux des travailleurs; * contrôler les soins fournis aux victimes d'accidents du travail et de maladies professionnelles. 5) Articles 333 à 334: La nécessite de fournir à chaque membre du personnel deux complets de travail, deux chemises une paire de chaussure et un couvre chef.",loi_66_27.pdf,
103,2,22.0,4,85-1177,2,1985-09-24,68 / 1985,Fixant la liste des catégories d'ouvriers accomplissant des taches pénibles et insalubres,"Les ouvriers accomplissant des tâches pénibles et insalubres sont mis à la retraite à l'âge de 55 ans. il s'agit des ouvriers affectés aux: - travaux d'assainissement, - travaux de propreté du périmètre communal, - stations d'épuration des eaux usées, - navigation maritime, marins des madragues, marins des lacs et gardes pêche, - chantiers et surveillance des chantiers, - carrières, - bacs, - laboratoires, - conduite et réparation des répondeuses à bitume, - régions sahariennes, - services de radiologie et de morgue, - nettoyages des Ets d'enseignement, - réseaux des PTT, - travaux topographiques, -imprimeries, - jardins zoologiques (soins des animaux et entretien des cages), - l'hygiène et la protection de l'environnement, pulvérisation des produits insecticides et désinfectant, ramassage des cadavres.",Decret_85_1177.pdf,
104,9,23.0,2,97-56,2,1997-09-28,61 / 1997,Relative à l'organisation de l'activité du transport routier de marchandises,"La présente loi a pour objet d'organiser le transport routier des marchandises et de fixer les règles d'exercice de cette activité conformément à la législation et la réglementation en vigueur relatives à la sécurité de la circulation et à la protection de l'environnement Le transport de marchandises pour propre compte - Article 6 : Est considéré comme transport de marchandises pour propre compte tout transport de marchandises effectué par une personne physique ou morale dans les conditions suivantes : - le véhicule utilisé pour ce transport doit appartenir au transporteur en propriété ou en leasing ou être loué, - la marchandise transportée doit lui appartenir ou avoir été vendue, ou achetée ou prise en location, ou produite, ou extraite, ou transformée, ou réparée ou fabriquée par lui, - Ce transport ne doit constituer qu'une activité secondaire et le complément d'une autre activité exercée par cette personne. - Article 7 : Le transport routier de marchandises pour propre compte n'est pas soumis à l'obligation d'inscription prévue par la présente loi. - Article 8 : Le ministre chargé du transport peut autoriser les propriétaires de véhicules de transport de marchandises pour propre compte à utiliser leurs véhicules en vue de transporter une catégorie déterminée de marchandises pour le compte d'autrui durant une période limitée. Cette autorisation est rendue publique par l'intermédiaire des moyens d'information.",Loi_97_56.pdf,
105,49,124.0,4,2000-142,2,2000-01-24,08 / 2000,"Fixant les catégories de permis de conduire, les conditions de leur délivrance, de leur validitè et de leur renouvellement","- Article premier : Le présent décret fixe les catégories de permis de conduire et les conditions de leur délivrance, de leur validité et de leur renouvellement Catégorie C : Automobiles destinées au transport de choses dont le poids total autorisé en charge (PTDA) excéder trois mille cinq cent kilogrammes (3500 kg) Aux automobiles de cette catégorie peut être attelée une remorque dont le poids total autorisé en charge (PTAC) n'excède pas sept cent kilogrammes (750 kg) - Article 15 : La durée maximale de validité des permis de conduire selon la catégorie du permis et l'âge de son titulaire est fixée comme suit : 2) catégories ""C"" ; ""C+E"" ; ""D"" ; ""D+E"" et ""D1"" : - trois (03) ans jusqu'à ce que l'âge du conducteur concerné atteigne l'âge de soixante (60) ans - deux ans entre l'âge de soixante (60) ans et l'âge de soixante seize (76) ans - un an à partir de l'âge de soixante seize (76) ans.",Decret_2000_142.pdf,
106,9,23.0,4,2000-144,2,2000-01-24,08 / 2000,Relatif au capital de points alloués à chaque permis de conduire,"- Article premier : Le présent décret fixe le capital de points affecté à chaque permis de conduire, le nombre de points à retirer lorsque l'une des infractions à la circulation, prévues par le présent décret est commise et les procédures de ce retrait, les conditions et les reconstitutions partielle ou totale des points perdus avant l'épuisement du total de ces points, le délai minimum avant de pouvoir passer l'examen en vue de l'obtention d'un nouveau permis de conduire lorsque le permis de conduire perd sa validité suite à l'épuisement du total de points. - Article 2 : Il est alloué à chaque permis de conduire un capital de quatorze points.Chacune des infractions au code de la route ci-après, lorsqu'elle est soumise, donne lieu à un retrait de points du capital de points alloué au permis de conduire.",Decret_2000_144.pdf,
107,9,23.0,4,2000-146,2,2000-01-24,08 / 2000,Relatif à la conduite sous l'empire d'un état alcoolique ,"- Article premier : Le présent décret fixe: les cas et les conditions dans lesquels il peut être procédé aux vérifications destinées à établir la preuve de l'état alcoolique, le taux d'alcool pur dont la présence dans le sang permet d'établir que le conducteur est sous l'empire d'un état alcoolique, les conditions et les modalités de l'examen biologique pour la détermination du taux d'alcool dans le sang - Article 2 : Tout conducteur de véhicule pourra être soumis aux épreuves de dépistage par l'air expiré. Ce dépistage est effectué par des appareils homologués par les services spécialisés.",Decret_2000_146.pdf,
108,49,124.0,4,2000-147,2,2000-01-24,08 / 2000,Fixant les règles techniques d'équipement et d'aménagement des véhicules ,"- Article premier : Les automobiles, les remorques, les semi remorques, les véhicules et appareils agricoles, les matériels de travaux publiques, les cycles, les motocycles et les véhicules à traction animale utilisée sur les routes ouvertes à la circulation publique doivent être équipées et aménagée conformément aux règles techniques définies par le présent décret. De l'Article 2 à l''article 69 : Ce décret définit les règles relatives notamment au poids et bandage, gabarit et chargement, dimensions du chargement, organes moteur, organes de manœuvre, de direction et de visibilité et appareils de contrôle de vitesse et des durées de conduite et de repos, aux dispositifs de freinage, d'éclairage, avertisseurs sonores. Il donne aussi les prescriptions relatives aux plaques et inscription, les conditions d'attelage des remorques et semi remorques ainsi que les règles d'équipement de ces véhicules.",Decret_2000_147.pdf,
109,9,23.0,4,2000-148,2,2000-01-24,08 / 2000,Fixant la périodicité et les procédures de la visite techniques des véhicules,"Fixant la périodicité et les procédures de la visite techniques des véhicules ainsi que les conditions de délivrance des certificats de visite technique et les indications qu'ils doivent porter. Le présent décret fixe: la périodicité de la visite technique pour chaque type de véhicules, les procédures de la visite technique et les conditions de délivrances des certificats de visites techniques. Le modèle de ce certificat est indiquée en annexe de ce présent décret - Article 6 : Les visites techniques périodiques ne dispensent pas le propriétaire du véhicule durant la validité du certificat de visite technique y afférent, de l'obligation de maintenir son véhicule en bon état de marche, en état satisfaisant d'entretien et répondant aux prescriptions prévues par la législation en vigueur.",Decret_2000_148.pdf,
110,9,23.0,4,2000-149,2,2000-01-24,08 / 2000,Fixant la liste des véhicules prioritaires et des véhicules d'intervention urgente,"Fixant la liste des véhicules prioritaires et des véhicules d'intervention urgente et les conditions de leur équipement et d'utilisation de leurs signaux. - Article premier : Ce décret fixe la liste des véhicules prioritaires et des véhicules d'intervention urgente et les conditions de leur équipement et l'utilisation de leurs signaux - Article 3 : Les usagers de la route doivent céder le passage aux intersections, aux véhicules militaires et les véhicules des forces de sécurité intérieure et doivent réduire leur vitesse et le cas échéant s’arrêter pour leur permettre le dépassement et le croisement lorsqu'ils utilisent les avertisseurs sonores et lumineux.",2000_149.pdf,
111,9,23.0,4,2000-150,2,2000-01-24,08 / 2000,Fixant le indications et la signalisation routiére,"- Article premier : Les indications et les signaux routières sont composés de 4 catégories : les indications données par les agents chargés de régler la circulation, la signalisation lumineuse, les signaux routières, les marques routières.",2000_150.pdf,
112,9,23.0,4,2000-151,2,2000-01-24,08 / 2000,Relatif aux règles générales de la circulation routière,"- Article premier : Les usagers de la route doivent se conformer aux prescriptions relatives aux règles générales de circulation - De l'article 2 à l'article 49 : Ce présent décret fixe les règles générales de la circulation routière tel que la limitation des vitesse, les dispositions de sécurité en cas de dépassement, les règles de sécurité à respecter lors l'utilisations d'un autoroute.",Decret_2000_151.pdf,
113,9,23.0,4,2000-152,2,2000-01-24,08 / 2000,Fixant la liste des pièces nécessaires pour la mise en circulation d'un véhicule et sa conduite,- Article premier : Les pièces nécessaire pour la mise en circulation d'un véhicule et sa conduite sont : - Le permis de conduire correspond au type de véhicule ; - Le certificat d'immatriculation du véhicule ; - L'attestation d'assurance ; - La justification de paiement des taxes de circulation,2000_152.pdf,
114,9,23.0,4,2000-153,2,2000-01-24,08 / 2000,Fixant la liste des infractions ordinaires aux dispositions du code de la route ,"Ce présent arrêté fixe la liste des infractions ordinaires aux dispositions du code de la route et à ses textes d'application et les montants des amendes qui leur sont applicables : - Article premier : Les infractions ordinaires visées à l'article 83 du code de la route sont classées en trois catégories et donnent lieu à une amende de trois (3) dinars pour les infractions de la première catégorie, à une amende de cinq (5) dinars pour celles de la deuxième catégorie et à une amende de dix (10) dinars pour celles de la troisième catégorie.",Decret_2000_153-0.pdf,
115,9,23.0,5,25-01-2000,2,2000-01-25,08 / 2000,Fixant les caractéristiques et les dimensions des indications de la vitesse maximale,"Fixant les caractéristiques et les dimensions des indications de la vitesse maximale autorisée et les conditions de leur emplacement. - Article premier : Les véhicules suivant doivent porter l'indication de leur vitesse maximale autorisée sur les autoroutes et sur les autres routes en dehors des agglomérations : - les véhicules et les ensembles de véhicules dont le poids total autorisé ou le poids total autorisé en charge ou le poids total roulant autorisé dépasse 3500 kg. - Article 2 : Ces indications doivent avoir la forme d'un disque répondant aux conditions suivantes : Etre de couleur blanche et d'un diamère égal à 190 mm Porter la vitesse en km/h en chiffres arabes de couleur noires et d'une hauteur de 150 mm Entouré d'une couronne, de couleur noire d'un diamètre de 190 mm à l'intèrieur et de 200 mm à l'extèrieur - Article 3 : Ces disques doivent être peints ou placés de façon visible à l'arrière sur la partie gauche de la carrosserie du véhicule, leurs centres doivent être situés dans un même plan horizental ou à défaut dans un même plan longitudinal vertical",Arrete_25_01_2000_1.pdf,
116,46,105.0,5,21-07-2009 (1),2,2009-07-21,63 / 2009,Le modèle de rapport d'activité annuelle d'un service de médecine du travail propre à une entreprise,"Fixation du modèle de rapport d'activité annuelle d'un service de médecine du travail propre à une entreprise et du modèle de rapport d'activité annuelle d'un groupement de médecine du travail. - Modèle de rapport d’activité annuelle d’un service de médecine du travail propre à une entreprise groupement de médecine du travail. - Modèle de rapport d’activité annuelle d'un d'un groupement de médecine du travail. - Dans le cas où l’entreprise dispose d'une filiale comportant un service de médecine du travail qui lui est propre, ce service élabore un rapport de son activité annuelle.",21_07_2009_Rapport_Annuel_D_activite.pdf,
117,46,105.0,5,21-07-2009 (3),2,2009-07-21,63 / 2009,"Le modèle de dossier médicale, du modèle de fiche de surveillance médicale spéciale et du modèle de fiche d'aptitude","Fixation du modèle de dossier médicale, du modèle de fiche de surveillance médicale spéciale et du modèle de fiche d'aptitude au travail. Le modèle de dossier médical, le modèle de fiche de surveillance médicale spéciale et le modèle de fiche d’aptitude au travail sont fixés conformément aux annexes n° 1, 2 et 3 jointes au présent arrêté. Le dossier médical et la fiche de surveillance médicale spéciale jointe à ce dossier sont conservés pendant une durée de dix ans au minimum, après que le travailleur ait quitté définitivement l’entreprise. En cas d’exposition au risque d'une maladie professionnelle dont le délai de prise en charge est supérieur à dix ans, le dossier médical et la fiche de surveillance médicale spéciale du travailleur sont conservés pendant une période dépassant ce délai de prise en charge tel qu'il est prévu dans l'un des tableaux de maladies professionnelles. En cas de cessation de l’activité du service de médecine de travail, les dossiers médicaux et les fiches de surveillance médicale spéciale des travailleurs sont transmis à l’inspection médicale du travail territorialement compétente, tout en prenant soin de sauvegarder le secret professionnel.",Arrete_du_ministre_des_affaires_sociales_de_la_solidarite_et_des_Tunisiens_a_l_etranger_du_21_juillet_2009.pdf,
118,46,105.0,5,27-10-2003,2,2003-10-27,89 / 2003,"Les modèles de contrats de travail pour l'exercice de la médecine du travail dans un service autonome, ",1) Le médecin de travail doit de consacrer 1 heure de travail par mois pour : - 30 agents administratifs ou assimilés - 20 travailleurs ou techniciens ou assimilés - 10 travailleurs âgés de moins de 18 ans - 10 travailleurs occupés dans des travaux nécessitant une surveillance médicale spéciale 2) Le Médecin du travail doit consacrer au moins le un tiere de son temps pour visiter les lieux du travail. 3) Le Médecin du travail est tenu d’élaborer une fiche d’entreprise pour y consigner les risques professionnels et le nombre des travailleurs exposés à ces risques 4) Le contrat est soumis à l’approbation de l’inspection médicale du travail 5) La rupture du contrat s’opère conformément à l’article 155 du code du Travail. 6) Le medecin du travail doit fournir un rapport annuelle d'activité ( Art 11 ) 7) Le medecin du travail doit assurer des visite terrain ainsi ds action de sensibilisation et d'information ( Art 11 ),Arretes_27_10_2003.pdf,
119,46,105.0,4,2000-1987,2,2000-09-12,76 / 2000,Les contributions des entreprises adhérentes aux groupements de médecine du travail,"1) La contribution des entreprises adhérentes aux groupements de médecine du travail est fixée à 0,50 % de l'ensemble des salaires, primes et autres avantages servis par l'entreprise à ses travailleurs et soumis à la cotisation de la sécurité sociale. 2) Les contributions sont versées directement au groupement chaque trimestre et au plus tard dans les 15 jours suivant l'échéance légale de la déclaration trimestrielle de la sécurité sociale. 3) Le montant de la contribution due pour chaque trimestre est déterminé sur la base des salaires déclarés.",Decret_2000_1987.pdf,
120,46,105.0,4,2000-1985,2,2000-09-12,76 / 2000,Organisation et fonctionnement des services de médecine du travail,"1) Il faut doit tenir un dossier médical pour chaque travailleur. Il faut conserver les dossiers médicaux de manière à assurer leur caractère confidentiel. 2) Le service autonome de médecine du travail est soumis à l'autorité de l'employeur qui soumet les activités du service à la Commission Consultative de l'Entreprise. 3) Le service autonome de médecine élabore son règlement intérieur conformément au règlement intérieur-type fixé par arrêté.Il élabore également un rapport annuel et le remet à l'employeur qui en adresse une copie à l'inspection médicale du travail. - Article 05 : le Services de médecine de travail est tenu d'établir et de mettre à jour une fiche d'entreprise dans la quelle il indique notamment les risques professionnelles et le nombre des travailleurs exposées à ses risques - Article 20 : Le GMT adresse à l'entreprise adhérente une copie de son rapport annuel sur ses d'activités qui la concernent. 5) Les relations entre le médecin embauché et l'entreprise ou le groupement sont fixées conformément à la législation en vigueur. - Article 29 : Le chef d'entreprise doit consacrer un temps minimal pour effectuer ses prestation à concurrence de d'une heure (1H) par mois pour : * 30 agents administratifs ou assimilés, * 20 ouvriers ou techniciens ou assimilés. * 10 travailleurs soumis à une surveillance médicale spéciale. -- Le recrutement d'un médecin du travail à temps plein devient obligatoire lorsque le temps consacré dépasse les 170 H par mois. - Article 31 : Un agent paramédical doit être recruté à temps plein pour 500 travailleurs et plus. Un autre agent est recruté pour chaque tranche de 2000 travailleurs supplémentaires. Au de-là de 3 agents paramédicaux, le service de médecine du travail recourt à l'inspection médicale du travail pour identifier les besoins réels.",Decret_2000_1985-0.pdf,
121,2,59.0,4,94-1490,2,1994-07-11,57 / 1994,Le statut particulier du corps de l'inspection médicale du travail,"Ce décret a pour objet de fixer le statut particulier du corps de l'inspection médicale du travail. 2) Le corps de l'inspection médicale du travail est chargé : - De porter à l'attention des autorités compétentes les déficiences ou les abus qui ne sont pas spécifiquement couverts par les dispositions légales existantes. - De fournir des informations et des conseils aux employeurs et aux travailleurs sur les moyens les plus efficaces d'observer les dispositions légales, réglementaires et conventionnelles relatives à la santé au travail.",Decret_94_1490-0.pdf,
122,47,109.0,5,12-06-1987,2,1987-06-12,48 / 1987,"Les machines et éléments de machines qui ne peuvent pas être utilisé, mis en vente, vendus ou loués sans protection","- Article 1 : Toutes les machines neuves ou d'occasion, mues par une force autre que la force humaine sont considérées comme des machines aux fins de l'application de cet arrêté. Cet arrêté ne s'applique pas aux machines agricoles mobiles que dans la mesure ou la sécurité des travailleurs dont l'emploi est en rapport avec ces machines est en cause. - Article 2 : Les pièces mobiles suivantes des machines et transmissions, bielles et volants de moteurs, roues, arbres de transmission, chaînes et courroies de transmissions, poulies, engrenages, cônes, ou cylindre de friction et cylindres lisses tels que les laminoirs et autres engins similaires doivent être munies d'un dispositif protecteur, ou séparées des ouvriers, à moins qu'elles ne soient hors de portée de la main. Idem pour les courroies ou câbles traversant le sol d'un atelier ou fonctionnant sur des poulies de transmission placées à moins de 2 mètres du sol. Pour les machines-outils à instruments tranchants tournant à grande vitesse (machines à scier, fraiser, raboter, découper, hacher, scies et cisailles, etc), la partie travaillant des instruments tranchants doit être protégée. - Article 11 : Il est interdit d'admettre tout travailleur à procéder pendant la marche de ces machines à la visite, à la vérification ou à la réparation de transmissions, mécanismes et machines comportant des organes en mouvement. Les opérations d'entretien tels que nettoyage, débourrage, essuyage, graissage de ces transmissions, mécanismes et machines comportant des organes en mouvement ainsi que l'application à la main d'adhésifs, sont interdites. L'interdiction ne s'applique pas aux opérations qui constituent nécessairement des phases d'usinage ou de fabrication. Lorsqu'il est techniquement impossible d'exécuter certains de ces travaux soit à l'arrêt soit aux sus-citées, ils ne peuvent être exécutés que par du personnel expérimenté spécialement désigné à cet effet par le chef d'établissement. L'exécution à l'arrêt des travaux n'est autorisée qu'après que les mesures nécessaires ont été prises pour empêcher la remise en marche inopinée des transmissions, mécanismes et machines. - Article 12 : Il est interdit d'admettre des ouvriers ou des ouvrières à se tenir près des machines s'ils ne portent pas des vêtements ajustés et non flottants, ainsi que les équipements de protection indispensables. - Article 13 : Le chef d'établissement doit mettre les travailleurs au courant des dispositions législatives concernant la protection des machines. Il doit les informer de manière appropriée des dangers résultant de l'utilisation des machines ainsi que des précautions à prendre.",Arrete_12_06_1987-0.pdf,
123,10,25.0,5,14-12-1956,2,1956-12-14,,"Règlementant les appareils de production, d'emmagasinage ou de mise en œuvre des gaz comprimés, liquéfiés ou dissous","- Article premier : Les appareils contenant de l'acétylène ne doivent comporter aucune pièce en cuivre, ou en alliage à plus de 70 % de cuivre, pouvant entrer en contact avec le gaz. - Tout appareil fixe ou groupe d'appareils fixes doit être en communication permanente avec un manomètre ayant sur sa graduation une marque apparente indiquant ""pression effective maximum en service"". - Pour les appareils fixes ou mi-fixes pression effective maximum en service est exprimée en hectopièzes, et précédée de la lettre ""S"". - Pour les appareils mobiles ou mi-fixes contenant des gaz comprimés ou de l'acétylène dissous dans l'acétone, la pression effective maximum de chargement à la température 15° C précédée de la mention ""C à 15°"" et exprimée en hectopièzes (Hpz). - Il est interdit de présenter à l'épreuve un appareil neuf ou le livrer sans qu'il soit accompagné d'un état descriptif, certifié par le constructeur et donnant avec référence à un dessin d'ensemble, la nature des matériaux, dimensions, non des gaz susceptibles d'y être contenus .... - Les appareils en service et leurs accessoires doivent être maintenus en bon état. Pour les récipients d'emmagasinage de gaz combustibles, la pression maximum en service ne peut dépasser 200 Hpz que si les récipients sont cylindriques et en acier forgé d'une seule pièce. - Les conditions d'alimentation ou de chargement doivent être précisées par écrit au personnel chargé de ces opérations, notamment en fonction de la température des fluides, la pression ou la densité de chargement. - Les récipients d'acétylène dissous sont garnis sans aucun vide d'une matière poreuse agréée par arrêté.",Arrete_14_12_1956.pdf,
125,47,108.0,5,06-02-1992,2,1992-02-06,11 / 1992,Homologation des normes tunisiennes relatives aux installations électriques des bâtiments,"Article premier : Sont homologuées les normes tunisiennes figurant au tableau annexé au présent arrêté -NT 87-41, NT87-42, NT87-43, NT87-44, NT87-45, NT87-47, NT87-49, NT87-50 et NT88-90.",Arrete_06_02_1992.pdf,
126,48,115.0,4,62-129,2,1962-04-18,,Relatif aux prescriptions de sécurité dans l'industrie du bâtiment et notamment son titre II ( Article 27),"Titre I - Échafaudages : - Article 2 : Travaux nécessitant l'emploi d'échafaudages Des échafaudages appropriés et suffisant doivent être prévus pour les ouvriers pour tous les les travaux qui ne peuvent être exécutés sans danger avec une échelle ou par d'autres moyens. - Article 3 : Montage d'échafaudages : Les montages doivent être construits, démontés ou sensiblement modifiés que sous la direction d'une personne compétente et responsable et autant que possible par des ouvriers compétents et habitués à ce genre de travail. - Article 20 : Passerelles, passages et escaliers : 1/ Toute les passerelles ou passages dont une partie quelconque est située à plus de 2 mètres au-dessus du sol ou du plancher doivent : a) posséder un plancher jointif b) avoir au moins 50 cm de largeur 2/ L'inclination maximum des parcelles ou des passages ne doit pas dépasser 60 cm par mètre 3/ Lorsque les passerelles ou des passages sont utilisés pour le transport de matériaux, il doit être prévu un passage libre dont la largeur: a) soit suffisante pour que le transport des matériaux puise se faire sans enlever les garde corps et les plinthes, b) ne soit jamais inférieur à 60 cm 6/ Des gardes corps seront installés sur toute la longueur des escaliers Aucune passerelle, ni aucun passage ne doit être utilisé pour y travailler avant que sa construction soit achevée et soit conforme aux présentes dispositions et que les dispositifs de protection prescrits soient convenablement installés. Titre II - Appareils de levage : - Article 27 : dispositions générales : 1/ Tous les éléments du bâti, du mécanisme, et des dispositifs de fixation des grues, palans, treuils ou autres machines et engins de levage et des moufles ou poulies doivent : a) être d'une bonne construction mécanique, fabriqués avec des matériaux solides, de résistance et de matière appropriée et exempts de défectuosités; b) être maintenus en bon état et bon ordre de marche; c) dans la mesure où la construction le permet, être examinés sur place au moins une fois par semaine, par le conducteur ou par une autre personne compétente. Titre II - Appareils de levage : - Article 27 : dispositions générales. 9/ Tout conducteur de levage doit être dûment qualifié.",Decret_62_129-0.pdf,
127,47,108.0,4,75-503,2,1975-07-28,53 / 1975,Sécurité électrique,"- Article 2 : Les responsables de l'établissement doivent observer toutes les indications et les règles de bon usage technique pour prémunir les travailleurs contre les dangers d'origine électrique (danger d'électrocution, accidents mécaniques consécutifs à des brûlures graves ou des mouvements réflexes que provoque l'électrisation, dangers consécutifs aux échauffement excessifs, aux incendies et aux explosions, décharges atmosphériques). - Article 10 : Vérification des installations électriques par un organisme agréé. Lors de la mise en service après modification importante périodiquement tous les 06 mois.",Decret_75_503.pdf,
129,52,7.0,5,15-04-1999,2,1999-04-15,34 / 1999,La liste des maladies professionnelles,"La liste des maladies professionnelles prévue par l’article du ""10-01-1995"" de la loi n° 94-28 du 21 février 1994 est complétée par les tableaux annexés à ce présent arrêté.",Arrete_15_04_1999-0.pdf,
130,52,7.0,5,13-08-2006,2,2008-06-13,50 / 2008,"Arrêté du ministre des affaires sociale, de la solidarité et de tunisiens à l’étranger","Ce présent arrêté du ministre des affaires sociale, de la solidarité et de tunisiens à l’étranger, fixe la liste des membres du conseil national de la prévention des risques professionnelles pour une période de trois ans.",Arrete_13_06_2008.pdf,
132,2,21.0,4,91-1936,2,1991-12-16,89 / 1991,Relatif au financement par la caisse nationale de sécurité sociale des projets de santé et de sécurité au travail,Le projet en question doit être destiné exclusivement à l'amélioration des conditions de SST des employés notamment par : l'aménagement des postes du travail ; l'acquisition de matériel de Protection Individuelle ou Collective ; l'installation de matériel de sécurité compatible avec les normes requises en matière de SST; l'acquisition de matériel médical destiné à promouvoir la SST aux lieux de travail ; l'aménagement d'unités inter-entreprises de médecine de travail.,Decret_91_1936.pdf,
133,2,21.0,4,91-784,2,1991-04-01,26 / 1991,Portant réorganisation de la commission médicale auprès de la caisse nationale de sécurité sociale,Portant réorganisation de la commission médicale auprès de la caisse nationale de sécurité sociale.,Decret_91_487.pdf,
134,2,59.0,1,90-77,2,1990-08-07,52 / 1990,Portant création de l'institut de la santé et de la sécurité au travail,"1) création d'un établissement public dénommé ""institut de la santé et de la sécurité au travail"" qui a pour objectif d'entreprendre toute action visant à promouvoir la santé et la sécurité dans le milieu du travail. 2) l'institut est chargé de: -la participation à la conception, à l’établissement et à l’évaluation des programmes de prévention des risques professionnels et l'amélioration des conditions de travail. - assurer la coordination technique des divers services médicaux relevant des entreprises -fournir une assistance technique aux divers intervenants dans le domaine de la prévention des risques professionnels et de l'amélioration des conditions de travail. -de procéder à des recherches et des études appliquées sur les questions ayant trait à la santé et à la sécurité au travail et de participer à l'élaboration des normes en la matière. -d'assurer la formation continue au profit des cadres opérant dans les domaines relevant de sa compétence. 3) L'organisation administrative et financière et les modalités de fonctionnement de l'institut de la santé et de la sécurité au travail sont fixées par décret.",Loi_90_77.pdf,
135,2,59.0,4,2007-1367,2,2007-06-11,47 / 2007,Le régime de base d’assurance maladie,"Les assurés sociaux et leurs ayants droit, prévus par l’article 4 de la loi n° 2004-71 du 2 août 2004 susvisée, bénéficient de la prise en charge des frais des prestations de soins prodiguées dans les secteurs public et privé selon les modalités de prise en charge, les procédures et les taux prévus par le présent décret. Pour bénéficier des prestations de soins prévues par le présent décret, l’assuré social doit être affilié et déclaré à l’un des régimes de sécurité sociale concernés par le régime de base de l’assurance maladie ou bénéficiaire d’une pension de retraite ou d’une allocation de vieillesse ou d’une pension d’invalidité ou d’une pension de survivant au titre de l’un de ces régimes.",Decret_2007_1367-0.pdf,
136,2,22.0,5,22-12-1998,2,1998-12-22,01 / 1999,Le modèle de l'indication signalant les endroits dans les quels il est interdit de fumer,"Le présent arrêté fixe les caractéristiques de la plaque signalétique de l'interdiction de fumer : - L'indication doit comporter une bande circulaire rouge en forme de cercle bande rectiligne de couleur rouge également au milieu du cercle et de façon presque perpendiculaire à la bande rouge qui le traverse, est dessinée une cigarette allumée. En bas de cette interdiction est portée la mention "" Interdit de fumer"" en arabe ou le cas échéant.",Arrete_22_12_1998.pdf,
137,2,22.0,7,173-82,2,,,Distribution du lait aux ouvriers effectuant certains travaux insalubres ou incommodes ou exposées à un risque particulier  ,"Circulaire liée aux principes de la distribution du lait aux ouvriers effectuant certains travaux insalubres ou incommodes ou exposées à un risque particulier : - Le lait n'est en aucun cas un contre-poison pouvant prévenir les maladies d'origine professionnelles. - La consommation du lait, comme toute autre boisson peut être dangereuse dans les locaux ou les ouvriers sont exposés à l'action de substance toxique. - La prévention des maladies professionnelles ne peut être réalisée par la distribution d'aliments, de liquides ou de drogues quelconque. - Les affirmations contraires constituent un danger-certain car elles entraînent des illusions de sécurité trempeuses.",Circulaire_173_82.pdf,
139,2,22.0,6,61,2,1996-07-15,,Code de Travail,- Article 61 : L’interdiction d'employer les enfants moins de 18 ans qu'après un examen médical approfondi justifiant leur aptitude d'effectuer le travail dont ils seront chargés. * L'examen médical d'aptitude à l'emploi est effectué gratuitement par le médecin du travail et doit être mentionné au registre visé à l'article 59 du présent code.,Articles_61_63_TV.pdf,
